time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,power
01:04:00,0.0,0.0,202,73,73,73,1,47,46,46,0,0,0,38,38,38,47,46,47,46,46,30.25,30.24,-0.15,0.0,0.0, nan
01:09:00,0.0,0.0,210,76,74,74,1,46,45,46,0,0,0,38,38,38,46,46,46,45,46,30.25,30.24,-0.15,0.0,0.0, nan
01:14:00,0.0,0.0,204,75,75,75,1,46,45,45,0,0,0,38,38,38,46,45,46,45,45,30.25,30.24,-0.15,0.0,0.0, nan
01:19:00,0.0,0.0,209,76,75,75,1,46,45,45,0,0,0,38,38,38,46,45,46,45,45,30.25,30.24,0.15,0.0,0.0, nan
01:24:00,0.0,0.0,205,75,75,75,1,45,45,45,0,0,0,38,38,38,45,45,45,45,45,30.25,30.24,0.0,0.0,0.0, nan
01:29:00,0.0,0.0,204,77,75,76,1,45,45,45,0,0,0,38,38,38,45,45,45,45,45,30.25,30.25,0.0,0.0,0.0, nan
01:34:00,0.0,0.0,204,78,77,77,1,45,44,44,0,0,0,38,38,38,45,44,45,44,44,30.25,30.24,0.0,0.0,0.0, nan
01:39:00,0.0,0.0,208,79,78,78,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.25,30.25,0.0,0.0,0.0, nan
01:44:00,0.0,0.0,209,79,77,77,1,44,44,44,0,0,0,38,37,37,44,44,44,44,44,30.25,30.25,0.0,0.0,0.0, nan
01:49:00,0.0,0.0,206,77,77,77,1,44,44,44,0,0,0,38,37,37,44,44,44,44,44,30.25,30.24,0.15,0.0,0.0, nan
01:54:00,0.0,0.0,206,78,77,77,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.25,30.25,0.0,0.0,0.0, nan
01:59:00,0.0,0.0,207,78,78,78,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.25,30.25,0.0,0.0,0.0, nan
02:04:00,0.0,0.0,208,78,77,77,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.25,30.25,0.0,0.0,0.0, nan
02:09:00,0.0,0.0,206,78,77,77,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.25,30.25,0.0,0.0,0.0, nan
02:14:00,0.0,0.0,215,79,78,78,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.26,30.24,0.0,0.0,0.0, nan
02:19:00,0.0,0.0,264,77,77,77,1,45,44,45,0,0,0,38,38,38,45,45,45,44,45,30.25,30.25,0.0,0.0,0.0, nan
02:24:00,0.0,0.0,227,77,77,77,1,45,45,45,0,0,0,38,38,38,45,45,45,45,45,30.25,30.24,-0.15,0.0,0.0, nan
02:29:00,0.0,0.0,211,76,75,75,1,46,45,45,0,0,0,38,38,38,46,45,46,45,45,30.25,30.24,0.0,0.0,0.0, nan
02:34:00,0.0,0.0,205,76,75,75,1,46,45,46,0,0,0,38,38,38,46,46,46,45,46,30.25,30.24,0.0,0.0,0.0, nan
02:39:00,0.0,0.0,204,77,77,77,1,45,45,45,0,0,0,38,38,38,45,45,45,45,45,30.25,30.24,-0.15,0.0,0.0, nan
02:44:00,0.0,0.0,202,78,77,77,1,45,44,45,0,0,0,38,38,38,45,45,45,44,45,30.25,30.24,0.0,0.0,0.0, nan
02:49:00,0.0,0.0,198,79,78,78,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.25,30.24,0.0,0.0,0.0, nan
02:54:00,0.0,0.0,199,78,78,78,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.25,30.25,0.0,0.0,0.0, nan
02:59:00,0.0,0.0,199,79,79,79,1,44,43,43,0,0,0,38,37,37,44,43,44,43,43,30.25,30.24,-0.15,0.0,0.0, nan
03:04:00,0.0,0.0,202,79,79,79,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.26,30.25,0.15,0.0,0.0, nan
03:09:00,0.0,0.0,199,79,79,79,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.26,30.25,0.15,0.0,0.0, nan
03:14:00,0.0,0.0,195,79,79,79,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.25,30.25,0.0,0.0,0.0, nan
03:19:00,0.0,0.0,195,79,78,78,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.26,30.25,0.0,0.0,0.0, nan
03:24:00,0.0,0.0,207,80,79,79,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.26,30.25,-0.15,0.0,0.0, nan
03:29:00,0.0,0.0,210,80,79,79,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.26,30.25,0.15,0.0,0.0, nan
03:34:00,0.0,0.0,211,80,80,80,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.26,30.25,-0.15,0.0,0.0, nan
03:39:00,0.0,0.0,199,80,80,80,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.27,30.26,0.15,0.0,0.0, nan
03:44:00,0.0,0.0,204,81,80,80,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.26,30.25,-0.15,0.0,0.0, nan
03:49:00,0.0,0.0,199,81,81,81,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.26,30.25,0.15,0.0,0.0, nan
03:54:00,0.0,0.0,201,81,80,80,1,43,43,43,0,0,0,38,37,38,43,43,43,43,43,30.26,30.26,0.0,0.0,0.0, nan
03:59:00,0.0,0.0,192,81,81,81,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.27,30.25,-0.15,0.0,0.0, nan
04:04:00,0.0,0.0,184,81,80,80,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.27,30.26,-0.15,0.0,0.0, nan
04:09:00,0.0,0.0,197,81,81,81,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.26,30.26,0.0,0.0,0.0, nan
04:14:00,0.0,0.0,212,81,80,80,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.27,30.26,0.15,0.0,0.0, nan
04:19:00,0.0,0.0,206,81,81,81,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.26,30.26,0.0,0.0,0.0, nan
04:24:00,0.0,0.0,206,81,81,81,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.26,30.25,0.0,0.0,0.0, nan
04:29:00,0.0,0.0,191,81,80,80,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.26,30.26,0.0,0.0,0.0, nan
04:34:00,0.0,0.0,191,81,80,80,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.27,30.26,0.15,0.0,0.0, nan
04:39:00,0.0,0.0,196,81,81,81,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.27,30.26,0.15,0.0,0.0, nan
04:44:00,0.0,0.0,210,81,81,81,1,43,43,43,0,0,0,37,37,37,43,43,43,43,43,30.27,30.26,0.0,0.0,0.0, nan
04:49:00,0.0,0.0,198,81,81,81,1,43,43,43,0,0,0,38,37,37,43,43,43,43,43,30.28,30.27,0.0,0.0,0.0, nan
04:54:00,0.0,0.0,198,81,80,80,1,43,43,43,0,0,0,38,38,38,43,43,43,43,43,30.27,30.27,0.0,0.0,0.0, nan
04:59:00,0.0,0.0,200,80,80,80,1,44,43,43,0,0,0,38,38,38,44,43,44,43,43,30.28,30.27,0.0,0.0,0.0, nan
05:04:00,0.0,0.0,205,81,80,80,1,44,43,43,0,0,0,38,38,38,44,43,44,43,43,30.28,30.27,-0.15,0.0,0.0, nan
05:09:00,0.0,0.0,219,81,81,81,1,43,43,43,0,0,0,38,37,38,43,43,43,43,43,30.28,30.27,0.15,0.0,0.0, nan
05:14:00,0.0,0.0,204,82,81,81,1,43,42,42,0,0,0,37,37,37,43,42,43,42,42,30.28,30.28,0.0,0.0,0.0, nan
05:19:00,0.0,0.0,204,83,82,82,1,42,41,41,0,0,0,37,36,36,42,41,42,41,41,30.28,30.28,0.0,0.0,0.0, nan
05:24:00,0.0,0.0,239,84,83,83,1,41,41,41,0,0,0,36,36,36,41,41,41,41,41,30.29,30.28,-0.15,0.0,0.0, nan
05:29:00,0.0,0.0,283,85,84,84,1,41,40,40,0,0,0,36,36,36,41,40,41,40,40,30.29,30.29,0.0,0.0,0.0, nan
05:34:00,0.0,0.0,285,85,85,85,1,40,40,40,0,0,0,36,36,36,40,40,40,40,40,30.3,30.29,0.0,0.0,0.0, nan
05:39:00,0.0,0.0,326,86,85,85,1,40,40,40,5,3,3,36,36,36,40,38,40,40,40,30.3,30.29,0.0,0.0,0.0, nan
05:44:00,0.0,0.0,330,86,86,86,1,40,40,40,7,6,5,36,36,36,37,36,40,40,40,30.3,30.29,0.0,0.0,0.0, nan
05:49:00,0.0,0.0,341,86,86,86,1,40,40,40,7,7,5,36,36,36,37,37,40,40,40,30.3,30.3,0.0,0.0,0.0, nan
05:54:00,0.0,0.0,349,86,86,86,1,40,40,40,5,0,3,37,37,37,40,38,40,40,40,30.3,30.3,0.0,0.0,0.0, nan
05:59:00,0.0,0.0,291,86,85,85,1,40,40,40,2,0,1,37,36,36,40,40,40,40,40,30.31,30.3,0.15,0.0,0.0, nan
06:04:00,0.0,0.0,341,86,85,85,1,40,40,40,2,0,1,36,36,36,40,40,40,40,40,30.31,30.3,-0.15,0.0,0.0, nan
06:09:00,0.0,0.0,343,86,86,86,1,40,40,40,5,1,3,36,36,36,40,39,40,40,40,30.31,30.3,0.15,0.0,0.0, nan
06:14:00,0.0,0.0,334,86,85,85,1,41,40,40,4,1,3,37,36,36,41,39,41,40,40,30.32,30.31,-0.15,0.0,0.0, nan
06:19:00,0.0,0.0,4,85,84,84,1,42,41,41,4,0,2,37,37,37,42,40,42,41,41,30.32,30.31,0.0,0.0,0.0, nan
